bid_request_id,campaign_id,ad_format,device_type,device_id,os,browser,user_agent,geo,network,domain,timestamp,response_time_ms,floor_price,bid_price,win_price,estimated_ctr,won,clicked,converted
24a2d881-6245-4925-9bc9-7f905a494833,cmp_019,banner,mobile,2a29f3653af64997,iOS,Chrome,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),CA,3G,sportsbuzz.io,2024-08-21T04:18:01.715584,124,1.46,2.85,,0.143,False,False,False
7e2c5223-41a1-46a9-8587-c71fa6569c94,cmp_011,banner,desktop,39d9da12da0e4609,Android,Safari,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),UK,WiFi,funmedia.co,2020-05-15T17:22:39.715584,160,0.28,1.75,,0.028,False,False,False
350143ff-1f37-4013-914f-aaeab303b66c,cmp_018,video,mobile,ac4b46182b124fe9,Windows,Safari,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),AU,WiFi,funmedia.co,2023-11-02T07:33:30.715584,141,0.25,1.52,1.19,0.054,True,False,False
72c0385e-a6e6-4a42-996f-ebb2f11c4949,cmp_018,native,mobile,c0e079e80c37428e,Android,Edge,Mozilla/5.0 (Linux; Android 13; Pixel 6),CA,4G,newsnet.org,2018-06-24T04:52:57.715584,126,1.32,4.95,,0.116,False,False,False
c310872d-551f-48c7-a8cd-fb8c79639922,cmp_019,video,mobile,18b830c0a6634d58,Android,Edge,Mozilla/5.0 (Linux; Android 13; Pixel 6),CA,4G,funmedia.co,2011-07-21T06:33:35.715584,149,0.57,1.4,,0.117,False,False,False
76ef7e5c-286c-44d7-85d1-d0e94fa9f503,cmp_003,video,mobile,84a2265f15224f0b,iOS,Safari,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),UK,WiFi,example.com,2023-05-29T12:08:09.715584,103,0.9,3.98,,0.022,False,False,False
1ba49ada-b8d7-406e-aad2-a5bdbbcfcf56,cmp_011,banner,desktop,0e58c0dd243f4bf4,Windows,Edge,Mozilla/5.0 (Windows NT 10.0; Win64; x64),CA,4G,example.com,2020-10-17T15:06:39.715584,168,1.95,3.63,,0.155,False,False,False
a3d8d116-b708-4271-b01c-45f249abb66c,cmp_012,native,mobile,10604e633ee4445e,iOS,Firefox,Mozilla/5.0 (Linux; Android 13; Pixel 6),IN,5G,newsnet.org,2012-09-06T21:50:37.715584,121,0.79,0.65,,0.197,False,False,False
bc502ee5-7477-4a0a-a7b3-d53fcbdc1fc1,cmp_003,native,tablet,7019d5c9da214b83,Android,Safari,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),CA,WiFi,shopnow.com,2017-03-12T06:46:40.715584,137,1.25,2.69,,0.193,False,False,False
67dfeeef-4222-42da-8bca-c44bda9c1d9a,cmp_004,native,mobile,e52f74795ad64a10,Android,Chrome,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),JP,4G,newsnet.org,2014-10-22T18:56:26.715584,114,0.54,2.98,2.63,0.052,True,False,False
e3e7079e-f1fb-4255-bc95-6db29ad2d121,cmp_018,banner,mobile,c618c0c00b9e45ea,macOS,Safari,Mozilla/5.0 (Linux; Android 13; Pixel 6),FR,WiFi,newsnet.org,2011-01-01T21:35:16.715584,127,0.92,0.57,,0.09,False,False,False
fddcb49b-6216-4a49-857d-74e8e514cee6,cmp_013,native,tablet,20dac3d9bd0e40b6,iOS,Safari,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),CA,4G,funmedia.co,2020-10-08T21:34:27.715584,102,0.37,2.73,,0.045,False,False,False
22b7b1ef-5c76-4562-ae06-1501e6419c0f,cmp_003,native,mobile,7d45e5462c1a4e31,Android,Edge,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),JP,5G,newsnet.org,2011-12-27T13:26:38.715584,127,0.82,0.39,,0.197,False,False,False
