bid_request_id,campaign_id,ad_format,device_type,device_id,os,browser,user_agent,geo,network,domain,timestamp,response_time_ms,floor_price,bid_price,win_price,estimated_ctr,won,clicked,converted,year,month,day,hour,day_of_week
7111af1f-96ff-4e54-9f2d-a23d6fbb8abf,cmp_019,banner,mobile,4a7335f085244472,iOS,Chrome,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),CA,3G,sportsbuzz.io,2024-08-23 02:57:14.136232,124,1.46,2.85,,0.143,False,False,False,2024,8,23,2,4
bd7d9587-2817-4a86-8762-813ea83e78d8,cmp_011,banner,desktop,82651ea0c84c4938,Android,Safari,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),UK,WiFi,funmedia.co,2020-05-17 16:01:52.136232,160,0.28,1.75,,0.028,False,False,False,2020,5,17,16,6
64c187dc-ecdd-4a11-ac86-9ecc016c1f72,cmp_018,video,mobile,704df56434ee4dab,Windows,Safari,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),AU,WiFi,funmedia.co,2023-11-04 06:12:43.136232,141,0.25,1.52,1.19,0.054,True,False,False,2023,11,4,6,5
95e3b836-25e7-4692-a8ee-8d218770b24f,cmp_018,native,mobile,4c23a195770c44be,Android,Edge,Mozilla/5.0 (Linux; Android 13; Pixel 6),CA,4G,newsnet.org,2018-06-26 03:32:10.136232,126,1.32,4.95,,0.116,False,False,False,2018,6,26,3,1
c2e3447f-d2ae-452e-9eed-5e4024d4888c,cmp_019,video,mobile,94478309efdf4f22,Android,Edge,Mozilla/5.0 (Linux; Android 13; Pixel 6),CA,4G,funmedia.co,2011-07-23 05:12:48.136232,149,0.57,1.4,,0.117,False,False,False,2011,7,23,5,5
9a763d1d-9771-4149-82f8-222af972d12c,cmp_003,video,mobile,7e93498807084393,iOS,Safari,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),UK,WiFi,example.com,2023-05-31 10:47:22.136232,103,0.9,3.98,,0.022,False,False,False,2023,5,31,10,2
42a01392-1cc3-4de7-818a-fdd67f3eeb2b,cmp_011,banner,desktop,6c83ecd59f95429e,Windows,Edge,Mozilla/5.0 (Windows NT 10.0; Win64; x64),CA,4G,example.com,2020-10-19 13:45:52.136232,168,1.95,3.63,,0.155,False,False,False,2020,10,19,13,0
1adb8df8-69fb-4d2d-a012-337c7a998ea5,cmp_012,native,mobile,332a49a2349343c9,iOS,Firefox,Mozilla/5.0 (Linux; Android 13; Pixel 6),IN,5G,newsnet.org,2012-09-08 20:29:50.136232,121,0.79,0.65,,0.197,False,False,False,2012,9,8,20,5
6baa2848-4e48-43a1-8521-15211fe35f9a,cmp_003,native,tablet,91a41cb6f58c4729,Android,Safari,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),CA,WiFi,shopnow.com,2017-03-14 05:25:53.136232,137,1.25,2.69,,0.193,False,False,False,2017,3,14,5,1
134b4664-ba41-452d-9446-a5a107d34c08,cmp_004,native,mobile,0c14acc6efd5490e,Android,Chrome,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),JP,4G,newsnet.org,2014-10-24 17:35:39.136232,114,0.54,2.98,2.63,0.052,True,False,False,2014,10,24,17,4
9e8bb55b-afd9-4b22-89f6-a8b09aac7c8d,cmp_018,banner,mobile,670aaffaa91e4c6b,macOS,Safari,Mozilla/5.0 (Linux; Android 13; Pixel 6),FR,WiFi,newsnet.org,2011-01-03 20:14:29.136232,127,0.92,0.57,,0.09,False,False,False,2011,1,3,20,0
8c8977b8-4a3a-47e8-9d47-421e94ad47d4,cmp_013,native,tablet,b4670426cc854423,iOS,Safari,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),CA,4G,funmedia.co,2020-10-10 20:13:40.136232,102,0.37,2.73,,0.045,False,False,False,2020,10,10,20,5
8679db10-bcf3-44b2-aba7-c20c54f18620,cmp_003,native,mobile,a7bd64f7493c4f69,Android,Edge,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),JP,5G,newsnet.org,2011-12-29 12:05:51.136232,127,0.82,0.39,,0.197,False,False,False,2011,12,29,12,3
726bdf3f-89db-4dce-bf0e-667862882f68,cmp_005,video,mobile,a3c766f8562e46f8,Windows,Safari,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),JP,WiFi,newsnet.org,2016-04-01 21:00:26.136232,150,1.13,2.94,2.56,0.152,True,False,False,2016,4,1,21,4
6bbe63f5-fc91-4f0c-9785-9736588ba29d,cmp_013,banner,mobile,65317326cfd242cb,Android,Chrome,Mozilla/5.0 (Linux; Android 13; Pixel 6),CA,WiFi,example.com,2022-03-19 03:42:02.136232,85,1.88,2.66,,0.049,False,False,False,2022,3,19,3,5
3c3f32f5-da2c-48d9-b603-6ad3897060d5,cmp_001,native,mobile,3745e30f36aa469f,iOS,Chrome,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),BR,5G,sportsbuzz.io,2015-08-28 06:18:39.136232,139,0.35,2.58,1.99,0.076,True,False,False,2015,8,28,6,4
d6a143d1-aa10-46bc-ab8c-ed389dcc3cc7,cmp_018,native,tablet,0b919da9d0134315,iOS,Safari,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),JP,4G,funmedia.co,2020-02-17 19:55:16.136232,158,0.64,0.86,,0.05,False,False,False,2020,2,17,19,0
6038acb1-62e9-4613-a2b2-bc67ef481450,cmp_014,video,tablet,c228b5b5fbe64cd0,iOS,Chrome,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),US,4G,funmedia.co,2024-07-11 19:42:28.136232,88,1.96,0.74,,0.041,False,False,False,2024,7,11,19,3
9c8c6195-e8cd-4442-9efb-0239c83dc171,cmp_012,banner,mobile,d97a4f1ae2d54039,Android,Edge,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),UK,3G,shopnow.com,2020-03-18 14:37:32.136232,97,1.74,4.0,3.09,0.181,True,True,False,2020,3,18,14,2
