bid_request_id,campaign_id,ad_format,device_type,device_id,os,browser,user_agent,geo,network,domain,timestamp,response_time_ms,floor_price,bid_price,win_price,estimated_ctr,won,clicked,converted
9c2bb000-1f62-49ee-a965-80b558df9401,cmp_018,video,mobile,458fee5b0adc48cd,macOS,Chrome,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),UK,2G,example.com,2025-04-14T17:01:47,127,0.48,0.23,,0.133,False,False,False
dd915815-8665-46b7-9899-e6579fc3a7d5,cmp_014,native,mobile,9de106bd50034977,Windows,Safari,Mozilla/5.0 (Linux; Android 13; Pixel 6),US,4G,funmedia.co,2025-04-14T15:14:28,155,0.29,3.84,,0.082,False,False,False
771f03d5-3689-4305-9b33-346bb18ce357,cmp_013,banner,desktop,e918b9a031aa409c,Windows,Firefox,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),JP,5G,example.com,2025-04-14T09:16:51,117,0.65,1.22,0.89,0.025,True,False,False
02aac241-0877-4841-8859-a4a4291fc3a8,cmp_020,video,mobile,9a391df4700644f4,Android,Safari,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),DE,5G,newsnet.org,2025-04-14T17:23:10,111,1.86,1.42,,0.141,False,False,False
cfbb5978-8ec9-4c71-bfd2-2fc1ee2cae87,cmp_013,banner,mobile,94b9c5d644de422a,iOS,Safari,Mozilla/5.0 (Windows NT 10.0; Win64; x64),US,WiFi,funmedia.co,2025-04-14T06:20:53,76,1.05,1.14,,0.178,False,False,False
49ee201a-7c42-4951-8900-78ee40c15a15,cmp_019,native,mobile,e7752e094635418e,Windows,Safari,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),DE,WiFi,sportsbuzz.io,2025-04-14T04:08:15,100,1.04,0.78,,0.154,False,False,False
135f7933-5846-4159-8b29-bfc966494dfc,cmp_013,banner,desktop,07a254dd247d48ab,macOS,Firefox,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),AU,WiFi,sportsbuzz.io,2025-04-14T21:09:40,123,1.4,3.63,,0.112,False,False,False
22b00730-22d3-4d4b-8a25-1adbd1d41ef4,cmp_017,video,mobile,b9e0e94ab5cf4e6e,iOS,Firefox,Mozilla/5.0 (Windows NT 10.0; Win64; x64),US,WiFi,newsnet.org,2025-04-14T17:07:18,117,0.48,2.59,2.53,0.081,True,False,False
d8114638-b671-41f3-8e54-177e96dc84cc,cmp_008,video,mobile,d4ca0614296040fb,Android,Chrome,Mozilla/5.0 (Windows NT 10.0; Win64; x64),BR,3G,example.com,2025-04-14T21:38:20,109,1.56,3.83,,0.034,False,False,False
924e2831-a6e4-4287-a6d4-4f9ac3fcee7e,cmp_010,native,mobile,b47de059a032412b,Windows,Edge,Mozilla/5.0 (Linux; Android 13; Pixel 6),IN,WiFi,sportsbuzz.io,2025-04-14T15:16:33,121,0.57,2.31,1.99,0.022,True,False,False
fc46ccc9-300a-40cd-af50-7de595f8332d,cmp_003,banner,mobile,c6a8c99ebb334197,Android,Firefox,Mozilla/5.0 (Windows NT 10.0; Win64; x64),US,WiFi,shopnow.com,2025-04-14T00:45:40,124,1.18,4.68,,0.1,False,False,False
7b83c6b1-9b33-4bea-b9d6-47b1466d38af,cmp_014,banner,desktop,0210a58864854464,iOS,Chrome,Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5),BR,3G,sportsbuzz.io,2025-04-14T20:12:06,136,1.62,3.67,3.14,0.031,True,False,False
